,contrast,dissimilarity,homogeneity,ASM,energy,correlation
1272,"[ 202.61929563  446.92491812  307.9077381   479.34366339  602.796875
  446.92491812  930.77872984  479.34366339 1047.30251025 1210.74297607
 1574.97182377 1308.53746098 1520.48671875 1989.87825853 2212.390625
 2195.12684762]","[ 5.99131944  8.91131267  7.53472222  9.49130763 10.29737903  8.91131267
 13.453125    9.49130763 13.73027664 15.289282   18.30430328 16.32258065
 17.27473958 21.03654931 22.51979167 22.44208546]","[0.54057254 0.501682   0.51558668 0.48525804 0.47644115 0.501682
 0.44724778 0.48525804 0.45188814 0.43953467 0.41513996 0.42734935
 0.42873699 0.39623789 0.39122417 0.3862887 ]","[0.11012926 0.09647031 0.10126183 0.09115474 0.08812498 0.09647031
 0.0776606  0.09115474 0.07690987 0.07421055 0.06687865 0.07069912
 0.06948134 0.05962823 0.05869548 0.0566074 ]","[0.33185729 0.3105967  0.31821664 0.30191843 0.29685853 0.3105967
 0.27867651 0.30191843 0.27732629 0.27241613 0.25860907 0.26589307
 0.26359313 0.24418892 0.24227149 0.23792309]","[0.96976834 0.93406376 0.95405919 0.92928086 0.91107875 0.93406376
 0.86270754 0.92928086 0.84727892 0.82536299 0.77036293 0.81125694
 0.78085233 0.71940448 0.68117466 0.6904615 ]"
1273,"[ 231.65550595  462.95817586  282.32242063  434.67800454  645.1186996
  462.95817586  788.23613911  434.67800454 1048.99897541 1090.90530697
 1210.09093238 1044.6748179  1414.18802083 1577.68583714 1528.36041667
 1567.28325719]","[ 7.31423611 10.65734442  8.44543651 10.31418493 12.37726815 10.65734442
 14.40851815 10.31418493 16.19313525 17.01768991 18.34605533 16.5359001
 19.31197917 21.55092717 21.38333333 21.16662188]","[0.53257883 0.49459988 0.51452816 0.49962137 0.48634909 0.49459988
 0.47094139 0.49962137 0.46271469 0.45217325 0.44431748 0.45484499
 0.44523975 0.41877599 0.42117658 0.4254878 ]","[0.18599665 0.16994868 0.18193613 0.17143044 0.16475643 0.16994868
 0.15784695 0.17143044 0.15082589 0.14398481 0.14312992 0.1447371
 0.13879381 0.12544511 0.13003269 0.12940976]","[0.43127329 0.41224833 0.42653971 0.41404159 0.405902   0.41224833
 0.39729957 0.41404159 0.38836309 0.37945331 0.37832515 0.38044329
 0.37255041 0.35418231 0.36060045 0.35973568]","[0.95881062 0.91844708 0.94978003 0.92342862 0.88645957 0.91844708
 0.86110196 0.92342862 0.81728615 0.81149166 0.78876537 0.81947937
 0.75621813 0.73254842 0.73572696 0.7343094 ]"
1274,"[ 171.40277778  307.26026707  205.23561508  325.41093474  447.56754032
  307.26026707  510.35357863  325.41093474  704.30942623  684.66883455
  734.60322746  715.95551509  946.17213542 1017.64176297  907.7375
 1051.80892233]","[ 4.98809524  6.85260771  5.63144841  7.16906022  8.30241935  6.85260771
  9.1186996   7.16906022 11.0102459  10.82596254 11.21285861 11.26873049
 13.25651042 14.07981725 12.8640625  14.46573502]","[0.70619074 0.69087978 0.70422212 0.68688945 0.67960279 0.69087978
 0.67798894 0.68688945 0.65958388 0.65593821 0.66112474 0.65717527
 0.64583789 0.626935   0.64338096 0.6285588 ]","[0.42862581 0.4144551  0.43048519 0.41507047 0.40631504 0.4144551
 0.40697175 0.41507047 0.3870056  0.38074811 0.38641156 0.384125
 0.36997002 0.34935465 0.36811374 0.35271422]","[0.6546952  0.64378187 0.6561137  0.64425963 0.63742846 0.64378187
 0.63794338 0.64425963 0.62209774 0.6170479  0.62162011 0.61977818
 0.60825161 0.59106231 0.60672378 0.59389748]","[0.95241664 0.91571843 0.94302426 0.9107397  0.8772556  0.91571843
 0.86003707 0.9107397  0.80921121 0.81667725 0.80100215 0.80830012
 0.74686529 0.73404655 0.75714008 0.7251172 ]"
1275,"[ 208.05828373  414.80221718  252.98883929  390.89644747  566.78251008
  414.80221718  714.81854839  390.89644747  907.1826332  1016.65218522
 1142.40727459  979.21930281 1216.53958333 1569.0854609  1496.91041667
 1519.18059661]","[ 6.98387897 10.1143865   7.77901786  9.85134795 11.73009073 10.1143865
 13.24395161  9.85134795 14.98283811 16.47424558 17.24743852 16.06529657
 17.60885417 21.6079011  20.70572917 21.18865896]","[0.55259542 0.52128135 0.54047683 0.51729811 0.50931355 0.52128135
 0.50230176 0.51729811 0.48552601 0.47935741 0.48133442 0.47890141
 0.46582894 0.44497588 0.46240664 0.44354927]","[0.21364685 0.19521568 0.2073863  0.19267622 0.18784932 0.19521568
 0.18429454 0.19267622 0.17155888 0.16837855 0.17171228 0.1686525
 0.15703844 0.14668109 0.16051012 0.14527532]","[0.46221948 0.44183219 0.45539686 0.438949   0.43341587 0.44183219
 0.4292954  0.438949   0.41419667 0.41033955 0.41438181 0.41067323
 0.39628076 0.38298967 0.40063714 0.38115   ]","[0.96195963 0.9248702  0.95374582 0.92920006 0.89735511 0.9248702
 0.87054909 0.92920006 0.83727116 0.81925949 0.79508256 0.82591431
 0.78384997 0.72611589 0.734048   0.73482679]"
1276,"[ 155.47420635  305.69060217  180.90922619  269.9430587   416.81628024
  305.69060217  481.1890121   269.9430587   647.30353484  689.75
  736.9428791   629.29734651  851.48359375 1005.87583983  933.63229167
  937.8774523 ]","[ 4.22916667  6.1244646   4.65128968  5.79642227  7.11970766  6.1244646
  7.97731855  5.79642227  9.28253074  9.9128512  10.46542008  9.50338189
 11.14505208 12.85138404 12.18385417 12.44127923]","[0.72946005 0.70241111 0.72842532 0.70856826 0.69324853 0.70241111
 0.69224323 0.70856826 0.67344025 0.66563375 0.67021656 0.66711936
 0.65835941 0.63943343 0.65189147 0.6424143 ]","[0.4252835  0.40330113 0.42500645 0.40868095 0.39434211 0.40330113
 0.39729898 0.40868095 0.37301223 0.36434716 0.37672178 0.36838036
 0.35890639 0.34178256 0.3592117  0.3428808 ]","[0.65213764 0.63505994 0.65192518 0.63928159 0.62796665 0.63505994
 0.63031657 0.63928159 0.61074727 0.60361176 0.61377665 0.60694346
 0.59908796 0.58462172 0.59934272 0.58556024]","[0.95425676 0.91119775 0.94677333 0.92158231 0.87894347 0.91119775
 0.86024581 0.92158231 0.81446454 0.80471651 0.78876066 0.821832
 0.75916795 0.72252985 0.73590946 0.74128715]"
1277,"[ 198.92361111  407.20786092  277.29613095  430.6414714   543.53024194
  407.20786092  773.39868952  430.6414714   880.13703893 1017.11342352
 1220.25794057 1049.38761707 1229.78463542 1587.83176565 1615.28385417
 1625.13302876]","[ 6.4796627   9.52481733  7.85119048  9.80146133 10.63306452  9.52481733
 13.24899194  9.80146133 13.90906762 15.62851197 17.04380123 15.80020812
 17.12265625 20.69981188 20.70520833 20.86535877]","[0.56126318 0.52873728 0.55182269 0.5261506  0.51556038 0.52873728
 0.50744917 0.5261506  0.48523948 0.48077838 0.48372587 0.48340717
 0.46432772 0.44513241 0.46073121 0.44618776]","[0.21086196 0.19331178 0.20865578 0.19452489 0.18368381 0.19331178
 0.18375024 0.19452489 0.16657647 0.16549245 0.16958555 0.16858022
 0.15282973 0.14219671 0.15574056 0.14614836]","[0.45919709 0.43967236 0.45678855 0.44104976 0.42858349 0.43967236
 0.42866099 0.44104976 0.40813781 0.40680763 0.41180766 0.41058522
 0.39093443 0.37708979 0.39463978 0.38229356]","[0.96563564 0.93032531 0.95209661 0.92631573 0.90701374 0.93032531
 0.86768809 0.92631573 0.85088744 0.82925136 0.79326536 0.82383328
 0.79367962 0.73839068 0.72900237 0.7322449 ]"
1278,"[ 227.03546627  455.15998992  301.16790675  464.335097    623.15347782
  455.15998992  851.73034274  464.335097   1011.42827869 1111.15894901
 1338.30917008 1131.05905307 1376.06119792 1632.79091642 1714.3765625
 1697.57995163]","[ 7.24131944 10.53413958  8.66195437 10.79818594 12.17767137 10.53413958
 14.89112903 10.79818594 15.79815574 17.2380333  19.26921107 17.4248179
 19.06901042 22.11421661 22.65       22.56409567]","[0.52987734 0.49334324 0.51763364 0.49201273 0.48248776 0.49334324
 0.46867594 0.49201273 0.4581792  0.44861437 0.44801704 0.44796972
 0.43567857 0.41025948 0.42393047 0.41093563]","[0.18065951 0.16718895 0.17892291 0.16451123 0.15705978 0.16718895
 0.1527111  0.16451123 0.14303478 0.14023179 0.14049798 0.13877351
 0.12950711 0.11879416 0.12567722 0.11699535]","[0.4250406  0.40888745 0.4229928  0.40559984 0.39630768 0.40888745
 0.39078268 0.40559984 0.37819939 0.37447535 0.3748306  0.37252317
 0.35987096 0.34466528 0.35450983 0.34204583]","[0.96448741 0.92945307 0.95289117 0.928031   0.90342775 0.92945307
 0.86800159 0.928031   0.84470167 0.83086579 0.79451038 0.82783673
 0.79067082 0.75583535 0.73919246 0.74614692]"
1279,"[ 249.42757937  473.67800454  304.14732143  507.30259511  704.16733871
  473.67800454  867.94758065  507.30259511 1147.16316598 1191.07544225
 1381.02894467 1239.79344433 1511.39505208 1801.5146466  1818.3203125
 1847.27385112]","[ 7.68204365 10.77349458  8.5109127  11.11816578 13.08417339 10.77349458
 14.58820565 11.11816578 16.77843238 17.56555671 18.69185451 17.89021852
 19.57005208 22.57135179 22.17239583 22.97339425]","[0.47589281 0.42799607 0.45830249 0.42113711 0.41976384 0.42799607
 0.39977273 0.42113711 0.38554778 0.37251691 0.3723875  0.36772268
 0.35852525 0.33142307 0.34885843 0.33002149]","[0.09076913 0.07796445 0.08655779 0.07423639 0.07341049 0.07796445
 0.06758059 0.07423639 0.0621142  0.05911032 0.05931574 0.05705027
 0.05298611 0.04727275 0.05297011 0.0460747 ]","[0.30127916 0.27922116 0.29420705 0.27246356 0.27094371 0.27922116
 0.25996267 0.27246356 0.24922721 0.24312615 0.24354823 0.23885199
 0.23018712 0.21742298 0.23015235 0.21465019]","[0.95606225 0.91736559 0.94642865 0.91149967 0.8771678  0.91736559
 0.84861506 0.91149967 0.8018385  0.79616648 0.7614812  0.78782906
 0.74148965 0.69746472 0.68905596 0.68977991]"
1280,"[ 223.65302579  409.39077853  248.5141369   437.82413706  662.54863911
  409.39077853  735.74672379  437.82413706 1105.97079918 1083.55306972
 1210.9008709  1144.85483871 1511.14609375 1744.4506853  1668.47734375
 1804.80166622]","[ 6.33506944  8.93222474  6.90352183  9.20987654 11.15095766  8.93222474
 12.17263105  9.20987654 15.07684426 15.34443288 16.5053791  15.80176899
 18.33255208 20.93818866 20.11536458 21.14565977]","[0.61278565 0.58232533 0.59859447 0.58338928 0.57342322 0.58232533
 0.55760174 0.58338928 0.54745705 0.53659386 0.53361277 0.53659853
 0.52640981 0.5031482  0.51433195 0.50505944]","[0.2738046  0.25614708 0.26894467 0.25586561 0.24886694 0.25614708
 0.24229128 0.25586561 0.23064013 0.22420145 0.22560365 0.22459438
 0.21290405 0.1980477  0.21074409 0.20060645]","[0.52326342 0.50610975 0.51859876 0.5058316  0.49886566 0.50610975
 0.49223092 0.5058316  0.48025007 0.47349916 0.47497753 0.47391389
 0.46141527 0.44502551 0.45906872 0.44789111]","[0.96402512 0.93483732 0.96002563 0.93031158 0.89455899 0.93483732
 0.88291005 0.93031158 0.8258702  0.83111624 0.80935415 0.82156168
 0.76463724 0.7337283  0.74013218 0.72451637]"
1281,"[ 249.96279762  457.55656337  277.24404762  474.28924162  733.68548387
  457.55656337  793.66355847  474.28924162 1232.94492828 1172.4789282
 1289.46772541 1205.52679501 1686.63203125 1872.16635313 1790.621875
 1910.20397743]","[ 7.05257937  9.59889141  7.60962302  9.96523054 12.29032258  9.59889141
 12.88936492  9.96523054 16.13294057 15.83012487 17.18493852 16.27913632
 19.47630208 21.24133298 21.0578125  21.84493416]","[0.59613799 0.56750244 0.58656381 0.56793203 0.55826686 0.56750244
 0.55353507 0.56793203 0.53659034 0.53140542 0.53019065 0.52897567
 0.51476508 0.49576356 0.50645951 0.49393491]","[0.26241888 0.24292519 0.25667834 0.24457186 0.23799303 0.24292519
 0.23652311 0.24457186 0.22111897 0.21763663 0.22233278 0.21780501
 0.2059021  0.19451581 0.20465454 0.19264695]","[0.51226837 0.49287441 0.50663433 0.49454207 0.4878453  0.49287441
 0.48633641 0.49454207 0.47023289 0.46651541 0.47152178 0.46669584
 0.45376437 0.44103947 0.4523876  0.43891565]","[0.96430479 0.93534153 0.96040823 0.932977   0.89633928 0.93534153
 0.88786543 0.932977   0.82765572 0.83775752 0.81975536 0.8331845
 0.76676451 0.74627276 0.75238359 0.74111767]"
1282,"[ 133.1656746   257.55807508  160.41964286  255.89619552  378.55645161
  257.55807508  433.51335685  255.89619552  615.51588115  648.07882414
  670.57658811  630.63033299  826.13984375 1021.98038162  894.66901042
 1003.72614888]","[ 3.96180556  5.69009826  4.37053571  5.67598891  7.02520161  5.69009826
  7.56174395  5.67598891  9.42315574  9.68912591  9.85169057  9.6116025
 11.39557292 13.16500941 11.90598958 13.17038431]","[0.75921221 0.73771396 0.75179715 0.7384579  0.7337005  0.73771396
 0.72286387 0.7384579  0.7165137  0.70802163 0.71056903 0.70588998
 0.70230078 0.6847332  0.6933044  0.68240106]","[0.4956334  0.47936823 0.49390344 0.48074638 0.47409582 0.47936823
 0.4673756  0.48074638 0.45843363 0.44654155 0.45000596 0.44463174
 0.44060981 0.42245964 0.43278307 0.41955682]","[0.70401235 0.69236423 0.70278264 0.69335877 0.68854616 0.69236423
 0.68364874 0.69335877 0.67707727 0.66823765 0.67082483 0.66680712
 0.66378446 0.64996895 0.6578625  0.64773206]","[0.96138708 0.92626836 0.95348448 0.92674411 0.89165373 0.92626836
 0.87592423 0.92674411 0.82614652 0.81921279 0.81059208 0.8240802
 0.76974959 0.72226075 0.75065139 0.72722162]"
1283,"[ 218.28943452  418.79843789  250.56001984  410.03502142  628.57913306
  418.79843789  723.54813508  410.03502142 1037.4897541  1050.60744017
 1173.49487705 1038.46383975 1415.12916667 1603.55442085 1564.25989583
 1606.14297232]","[ 6.3390377   8.99143361  7.02331349  8.90576972 10.85887097  8.99143361
 12.16355847  8.90576972 14.40829918 14.96436004 16.11629098 14.9008845
 17.521875   19.59580758 19.22447917 19.68825585]","[0.56410493 0.53083716 0.54742727 0.5257884  0.51557691 0.53083716
 0.5060416  0.5257884  0.48899654 0.48049057 0.4803632  0.48294627
 0.46839864 0.44032553 0.45753685 0.44778842]","[0.17356412 0.15829361 0.17007922 0.15743243 0.15052502 0.15829361
 0.14701483 0.15743243 0.13667794 0.13256344 0.13658569 0.13502969
 0.12411797 0.11130266 0.1262892  0.11770502]","[0.41661027 0.39786129 0.41240662 0.39677756 0.38797554 0.39786129
 0.38342513 0.39677756 0.3696998  0.36409263 0.36957501 0.36746386
 0.35230381 0.33362054 0.35537192 0.34308165]","[0.96313269 0.93001661 0.95768617 0.93148101 0.89497037 0.93001661
 0.8791197  0.93148101 0.82850274 0.8281157  0.8060731  0.83010242
 0.76860402 0.74312247 0.74430843 0.74270774]"
1284,"[ 220.48685516  458.3681028   274.73263889  445.4691358   682.48109879
  458.3681028   834.57560484  445.4691358  1172.87243852 1238.67351717
 1379.89472336 1188.43002081 1618.70338542 1942.78285407 1866.32369792
 1868.69524321]","[ 6.46453373  9.48677249  7.34722222  9.33560091 11.51638105  9.48677249
 13.0171371   9.33560091 15.41547131 16.38735692 17.28816598 15.71722164
 18.72994792 21.85675894 20.97421875 21.17307175]","[0.61266033 0.58571809 0.60330115 0.58317384 0.5758717  0.58571809
 0.56461039 0.58317384 0.55218353 0.53892493 0.54187625 0.54044666
 0.53612793 0.50313722 0.51612802 0.50270084]","[0.29022052 0.27351982 0.28891696 0.27538816 0.26999895 0.27351982
 0.26466965 0.27538816 0.25238485 0.24037542 0.24679133 0.24544718
 0.23654093 0.21004235 0.22651666 0.21496484]","[0.53872119 0.52299122 0.53750997 0.52477439 0.51961424 0.52299122
 0.51446054 0.52477439 0.50237919 0.49028096 0.49678097 0.49542626
 0.48635474 0.45830378 0.47593766 0.46364301]","[0.9716872  0.94175719 0.96472155 0.94339621 0.91329467 0.94175719
 0.89397265 0.94339621 0.85258779 0.84588617 0.82656787 0.85213739
 0.79874521 0.7632815  0.76795084 0.77230871]"
1285,"[ 176.87152778  329.66288738  201.39285714  332.77601411  490.85987903
  329.66288738  538.27646169  332.77601411  787.42597336  800.00182102
  873.77766393  801.05853278 1068.03645833 1253.78473529 1206.55989583
 1287.07739855]","[ 4.57440476  6.51297556  4.95982143  6.5165029   7.99949597  6.51297556
  8.74924395  6.5165029  10.7866291  10.97216441 11.89805328 11.15010406
 13.12135417 14.86885246 14.5578125  15.28755711]","[0.74801833 0.73054962 0.74130941 0.73196416 0.72207901 0.73054962
 0.71601247 0.73196416 0.70588973 0.70195337 0.69888156 0.69996261
 0.68898101 0.67718265 0.683943   0.67067801]","[0.48489318 0.4714322  0.4819117  0.46834795 0.46250053 0.4714322
 0.46046764 0.46834795 0.44353561 0.43969127 0.44050973 0.43488453
 0.42499457 0.41281414 0.4225076  0.40251098]","[0.69634271 0.6866092  0.6941986  0.68435952 0.68007392 0.6866092
 0.67857766 0.68435952 0.66598469 0.66309221 0.66370907 0.65945776
 0.65191608 0.64250614 0.65000584 0.63443753]","[0.95448533 0.91621831 0.94817521 0.91542713 0.87527596 0.91621831
 0.86322808 0.91542713 0.80246687 0.80173236 0.78080645 0.80147047
 0.73552016 0.69702561 0.70122206 0.68898051]"
1286,"[ 252.13814484  496.15847821  295.85168651  471.37843285  722.20917339
  496.15847821  838.04813508  471.37843285 1184.34016393 1206.11940687
 1321.71362705 1142.34989594 1562.23880208 1784.15157216 1712.46848958
 1689.79844128]","[ 7.47445437 10.59737969  8.16914683 10.37314185 12.80846774 10.59737969
 14.11920363 10.37314185 16.55840164 17.29162331 18.11629098 16.69901145
 19.71796875 22.41547971 21.63828125 21.50174684]","[0.56566455 0.54025546 0.55842951 0.53646946 0.52950636 0.54025546
 0.51470579 0.53646946 0.51702429 0.49768074 0.49584036 0.49988718
 0.49691361 0.46772115 0.47110912 0.4722908 ]","[0.23730801 0.22260939 0.23266325 0.22072834 0.21693927 0.22260939
 0.20757098 0.22072834 0.20581744 0.19585951 0.19215015 0.19672441
 0.19376017 0.17343165 0.17694105 0.17720953]","[0.4871427  0.47181499 0.48235179 0.46981735 0.4657674  0.47181499
 0.45559958 0.46981735 0.45367107 0.44256018 0.43834935 0.44353626
 0.44018198 0.41645125 0.42064362 0.42096263]","[0.95045627 0.90346283 0.94185678 0.90828418 0.85958734 0.90346283
 0.83693369 0.90828418 0.77222618 0.77002402 0.74537669 0.78218278
 0.70276247 0.66662233 0.67338563 0.68425211]"
1287,"[ 189.7671131   376.72537163  229.17113095  357.56941295  529.33694556
  376.72537163  650.96496976  357.56941295  864.52407787  923.45525494
 1047.73104508  896.50364204 1181.75625    1397.93442623 1400.01927083
 1398.30905671]","[ 5.95610119  8.49508692  6.73462302  8.3686067   9.98109879  8.49508692
 11.50831653  8.3686067  12.96465164 13.83870968 15.08657787 13.62278876
 15.80989583 18.20209621 18.35729167 18.32356893]","[0.53404949 0.49020209 0.51970473 0.49037635 0.47749316 0.49020209
 0.45861001 0.49037635 0.45431138 0.43611362 0.42938114 0.44010167
 0.42647228 0.39716881 0.39864987 0.40364886]","[0.11541608 0.09942734 0.1105639  0.10282391 0.09722221 0.09942734
 0.08878907 0.10282391 0.08727086 0.07892633 0.0777312  0.08208043
 0.0783766  0.06424926 0.06826864 0.06939333]","[0.33972942 0.31532101 0.33251151 0.32066167 0.31180476 0.31532101
 0.29797494 0.32066167 0.29541641 0.28093831 0.27880316 0.28649682
 0.27995821 0.25347437 0.26128267 0.26342614]","[0.96255502 0.92646274 0.95477874 0.93020198 0.89669558 0.92646274
 0.87295147 0.93020198 0.83314188 0.82360944 0.797773   0.82875729
 0.77444536 0.73869807 0.73279739 0.73862753]"
1288,"[ 179.1140873   309.84328546  187.06448413  309.89317208  469.2406754
  309.84328546  463.76184476  309.89317208  726.04482582  685.06971904
  683.11936475  681.25442248  943.48958333  993.17360924  886.30494792
 1018.64740661]","[ 5.09474206  6.85311162  5.32589286  6.9569161   8.43422379  6.85311162
  8.73059476  6.9569161  10.95568648 10.83558793 10.88780738 10.95629553
 12.94583333 13.80623488 12.96953125 14.20128998]","[0.70790975 0.68842543 0.70575011 0.68705624 0.68604333 0.68842543
 0.68034848 0.68705624 0.66753667 0.66065043 0.66289063 0.65793864
 0.65192203 0.63565498 0.64281477 0.6305016 ]","[0.42101027 0.40512479 0.41671157 0.40273235 0.40320167 0.40512479
 0.39674554 0.40273235 0.38584507 0.3780159  0.37928798 0.37670746
 0.3704994  0.35037099 0.36022949 0.34510139]","[0.64885304 0.63649414 0.64553201 0.63461197 0.63498163 0.63649414
 0.6298774  0.63461197 0.62116428 0.61482998 0.6158636  0.61376499
 0.60868662 0.59192144 0.60019121 0.58745331]","[0.94654739 0.90864727 0.94417477 0.90863257 0.86167923 0.90864727
 0.86329581 0.90863257 0.78862816 0.80288957 0.80112317 0.80398732
 0.72876458 0.72115629 0.74519275 0.71400426]"
1289,"[ 209.18030754  483.72411187  302.0530754   448.9808516   611.06502016
  483.72411187  881.68044355  448.9808516  1049.57786885 1260.7950052
 1423.19877049 1209.23881374 1490.90416667 1943.6586939  1884.63567708
 1877.15614082]","[ 6.25223214  9.80725624  7.62797619  9.27865961 10.72076613  9.80725624
 13.21370968  9.27865961 14.25256148 16.09469303 17.32223361 15.57075963
 17.52395833 21.25826391 21.12838542 20.61811341]","[0.57131919 0.53054743 0.56020774 0.53587578 0.5225618  0.53054743
 0.5137026  0.53587578 0.5010291  0.48706926 0.49665042 0.49265401
 0.48015132 0.45336948 0.47819209 0.46253724]","[0.19444937 0.17532025 0.1913531  0.17444981 0.16690505 0.17532025
 0.16634119 0.17444981 0.15436249 0.14915037 0.15473306 0.1524788
 0.14071777 0.1299669  0.14722995 0.13375461]","[0.44096413 0.41871261 0.43743926 0.41767189 0.40854014 0.41871261
 0.40784947 0.41767189 0.39288992 0.38619991 0.39336123 0.39048534
 0.37512368 0.36050922 0.38370556 0.36572477]","[0.96399356 0.9176451  0.94800891 0.9235602  0.895985   0.9176451
 0.84992694 0.9235602  0.82333575 0.79002736 0.76046259 0.79861352
 0.75186349 0.68332511 0.68640068 0.69416019]"
1290,"[ 251.47172619  520.87301587  332.79389881  522.57016881  720.625
  520.87301587  981.64264113  522.57016881 1189.92418033 1321.90270552
 1604.0048668  1353.94693028 1614.26979167 2013.27465735 2125.94921875
 2114.0131685 ]","[ 7.32440476 10.74653565  8.64508929 10.76719577 12.4858871  10.74653565
 14.88155242 10.76719577 16.2920082  17.50416233 19.49974385 17.90634755
 19.2578125  22.74845472 23.47786458 23.5385649 ]","[0.56620415 0.53401023 0.55405633 0.53493787 0.52517968 0.53401023
 0.51638201 0.53493787 0.50313754 0.49843755 0.49437398 0.49460159
 0.4882167  0.46523917 0.47121284 0.4639872 ]","[0.23232383 0.21665419 0.22886575 0.21617085 0.20810727 0.21665419
 0.20375275 0.21617085 0.19235106 0.19080346 0.18886958 0.18799992
 0.17851942 0.16750987 0.17469089 0.16673808]","[0.48199982 0.46546127 0.47839915 0.46494177 0.45618776 0.46546127
 0.4513898  0.46494177 0.43857845 0.43681055 0.43459127 0.43358958
 0.42251559 0.40927969 0.41796039 0.40833575]","[0.95945145 0.91685325 0.94633858 0.91658234 0.88497992 0.91685325
 0.84333071 0.91658234 0.81201965 0.79317717 0.74662712 0.78816358
 0.74769403 0.69122401 0.66761656 0.67577379]"
1291,"[ 137.50446429  271.22700932  174.8531746   273.8946838   391.11189516
  271.22700932  444.2734375   273.8946838   639.08913934  663.08506764
  656.58939549  666.90400624  873.98515625 1035.55630207  854.92682292
 1017.52190271]","[ 4.06299603  5.97984379  4.63640873  5.7989418   6.98941532  5.97984379
  7.85206653  5.7989418   9.3960041  10.01222685 10.11654713  9.84365245
 11.37265625 13.37678044 11.86536458 12.98602526]","[0.73026373 0.7025464  0.72104573 0.70649707 0.6994617  0.7025464
 0.68964764 0.70649707 0.67855892 0.66611132 0.66832597 0.66995425
 0.66604014 0.63742384 0.64767915 0.64594434]","[0.42691737 0.40736691 0.42526553 0.4108333  0.40415601 0.40736691
 0.39944531 0.4108333  0.38845575 0.37026825 0.37904981 0.37801441
 0.3757293  0.34443563 0.3606349  0.35369343]","[0.65338914 0.63825301 0.65212386 0.64096279 0.63573265 0.63825301
 0.63201686 0.64096279 0.62326218 0.60849671 0.61567021 0.61482877
 0.61296762 0.58688639 0.60052885 0.5947213 ]","[0.95749045 0.91720935 0.94594408 0.91639505 0.88064124 0.91720935
 0.86441853 0.91639505 0.80750814 0.80273136 0.80223619 0.80159522
 0.74022709 0.69981017 0.74588985 0.70503803]"
1292,"[ 286.02430556  535.5122197   327.45734127  544.97858403  816.51486895
  535.5122197   933.62726815  544.97858403 1333.98283811 1321.91727367
 1489.91009221 1344.64724246 1772.83645833 1951.55442085 1945.51380208
 1975.93012631]","[ 7.91517857 11.11211892  8.68501984 11.21441169 13.56325605 11.11211892
 14.97857863 11.21441169 17.80814549 18.21279917 19.5263832  18.52081165
 21.28802083 23.34318732 23.23723958 23.71136791]","[0.55977245 0.5265744  0.54651097 0.52489727 0.51919923 0.5265744
 0.51067224 0.52489727 0.49732298 0.48950643 0.48597633 0.48465381
 0.4793395  0.4616374  0.4634323  0.45364538]","[0.22536536 0.20953299 0.22070128 0.20784061 0.20193008 0.20953299
 0.19851148 0.20784061 0.18715016 0.18543244 0.1852284  0.18137771
 0.17560113 0.16617676 0.17002075 0.16013552]","[0.47472661 0.45774773 0.46978855 0.45589539 0.44936631 0.45774773
 0.44554627 0.45589539 0.43260855 0.43061867 0.43038169 0.42588462
 0.41904788 0.40764784 0.41233573 0.40016937]","[0.95072403 0.90864506 0.94358817 0.90703016 0.86077494 0.90864506
 0.84075526 0.90703016 0.77496566 0.7789302  0.74839668 0.77512889
 0.70411892 0.68011961 0.67474605 0.67612394]"
1293,"[ 249.42708333  486.83749055  284.28174603  466.36684303  732.1796875
  486.83749055  818.10131048  466.36684303 1239.56352459 1249.816077
 1326.62243852 1224.38579605 1681.92708333 1935.62698199 1809.23385417
 1921.56624563]","[ 6.98313492 10.04837491  7.61805556  9.856387   12.08039315 10.04837491
 13.22631048  9.856387   16.23309426 16.64698231 17.5732582  16.71514048
 19.66197917 21.79091642 21.30885417 22.04353668]","[0.58466921 0.54912072 0.57581506 0.55176092 0.54180754 0.54912072
 0.5347393  0.55176092 0.5191832  0.51187703 0.51427984 0.51140366
 0.49684282 0.48230544 0.49175827 0.47688516]","[0.25060183 0.23050505 0.24255571 0.22985196 0.22415412 0.23050505
 0.21727106 0.22985196 0.20870251 0.20117883 0.20314153 0.20003362
 0.19244819 0.18053443 0.18778917 0.17787269]","[0.50060147 0.48010941 0.49249945 0.47942879 0.47344917 0.48010941
 0.46612343 0.47942879 0.4568397  0.44852963 0.45071225 0.44725118
 0.43868917 0.42489343 0.43334648 0.42174956]","[0.9662174  0.93473386 0.96149647 0.93747819 0.90186096 0.93473386
 0.89034398 0.93747819 0.83558489 0.83584399 0.82403731 0.83918411
 0.77923857 0.75087967 0.76253237 0.75268933]"
